ticker,close,pct_change_1w,avg_volume_5d,listing,price_cad,currency,fractional_supported
AEM.TO,244.41,7.76,1025360,CAD,244.41,CAD,True
L.TO,59.18,7.09,1692240,CAD,59.18,CAD,True
WN.TO,89.15,5.68,313760,CAD,89.15,CAD,True
TRI.TO,222.18,5.56,520380,CAD,222.18,CAD,True
H.TO,52.33,4.7,982900,CAD,52.33,CAD,True
MRU.TO,96.62,4.59,711020,CAD,96.62,CAD,True
DOL.TO,182.97,4.37,511180,CAD,182.97,CAD,True
BCE.TO,33.99,3.38,5858440,CAD,33.99,CAD,True
FTS.TO,72.47,3.26,1033160,CAD,72.47,CAD,True
ATD.TO,74.95,3.14,1182820,CAD,74.95,CAD,True
K.TO,35.12,3.14,5817760,CAD,35.12,CAD,True
EMA.TO,69.1,3.04,1318880,CAD,69.1,CAD,True
RCI-B.TO,52.2,2.84,1746200,CAD,52.2,CAD,True
AQN.TO,8.37,2.83,2179600,CAD,8.37,CAD,True
CTC-A.TO,173.14,2.67,333340,CAD,173.14,CAD,True
WCN.TO,242.01,1.37,322620,CAD,242.01,CAD,True
SAP.TO,33.95,1.25,973320,CAD,33.95,CAD,True
WPM.TO,146.5,1.05,754540,CAD,146.5,CAD,True
T.TO,21.48,1.03,6058420,CAD,21.48,CAD,True
QSR.TO,94.42,0.97,992780,CAD,94.42,CAD,True
CP.TO,107.23,0.96,1164080,CAD,107.23,CAD,True
CCL-B.TO,77.31,0.93,267380,CAD,77.31,CAD,True
ABX.TO,46.73,0.86,5523080,CAD,46.73,CAD,True
BIP-UN.TO,48.09,0.63,418613,CAD,48.09,CAD,True
MG.TO,62.71,0.34,1131360,CAD,62.71,CAD,True
CM.TO,112.52,0.34,2744300,CAD,112.52,CAD,True
RY.TO,204.27,0.23,3833380,CAD,204.27,CAD,True
BNS.TO,89.32,0.13,3303800,CAD,89.32,CAD,True
TD.TO,111.06,0.08,11604120,CAD,111.06,CAD,True
CNR.TO,134.05,0.07,1620560,CAD,134.05,CAD,True
FNV.TO,285.43,-0.1,504800,CAD,285.43,CAD,True
GIL.TO,85.07,-0.11,484140,CAD,85.07,CAD,True
CCO.TO,121.31,-0.31,1473620,CAD,121.31,CAD,True
SLF.TO,84.9,-0.45,1172620,CAD,84.9,CAD,True
FSV.TO,256.69,-0.67,128660,CAD,256.69,CAD,True
WSP.TO,276.46,-0.84,255980,CAD,276.46,CAD,True
OTEX.TO,54.69,-0.92,881560,CAD,54.69,CAD,True
MFC.TO,44.34,-0.98,4126820,CAD,44.34,CAD,True
TECK-B.TO,60.72,-1.3,1488244,CAD,60.72,CAD,True
BMO.TO,175.05,-1.34,2337940,CAD,175.05,CAD,True
BN.TO,62.25,-1.38,1832920,CAD,62.25,CAD,True
CAR-UN.TO,39.08,-1.56,472704,CAD,39.08,CAD,True
CAE.TO,38.38,-1.89,407700,CAD,38.38,CAD,True
ENB.TO,65.98,-1.99,5605840,CAD,65.98,CAD,True
TRP.TO,72.1,-2.44,5841500,CAD,72.1,CAD,True
IFC.TO,258.62,-2.79,385280,CAD,258.62,CAD,True
POW.TO,60.66,-2.87,2292280,CAD,60.66,CAD,True
TOU.TO,59.09,-3.35,2530540,CAD,59.09,CAD,True
CSU.TO,3814.13,-3.44,57720,CAD,3814.13,CAD,True
IMO.TO,119.15,-3.57,994440,CAD,119.15,CAD,True
SHOP.TO,220.93,-3.89,1630680,CAD,220.93,CAD,True
GIB-A.TO,122.03,-3.93,549260,CAD,122.03,CAD,True
FM.TO,31.09,-4.43,2451580,CAD,31.09,CAD,True
PPL.TO,53.1,-4.53,3432880,CAD,53.1,CAD,True
SU.TO,54.04,-4.61,5275700,CAD,54.04,CAD,True
NTR.TO,80.47,-6.17,1541960,CAD,80.47,CAD,True
CVE.TO,23.54,-7.18,8195220,CAD,23.54,CAD,True
BAM.TO,75.92,-7.88,1010000,CAD,75.92,CAD,True
CNQ.TO,42.19,-8.04,12800060,CAD,42.19,CAD,True
