id,symbol,name,price_cad,market_cap,vol_24h,pct_change_1w
havven,SNX,Synthetix,2.48,852296193,737386752,54.80209789307897
basic-attention-token,BAT,Basic Attention,0.244424,365383828,93047979,18.632144108699855
binancecoin,BNB,BNB,1832.83,254996705727,13169522231,11.477031451309744
morpho,MORPHO,Morpho,2.78,1452613003,153612174,7.473401834200205
pancakeswap-token,CAKE,PancakeSwap,4.76,1637897943,930063424,1.3224772699173206
usd-coin,USDC,USDC,1.4,105924966277,23571165202,0.29917477771213213
bitcoin,BTC,Bitcoin,161305.0,3215490165814,128373590372,-6.787941209599256
algorand,ALGO,Algorand,0.282431,2489129987,171117113,-7.619898256954405
ethereum,ETH,Ethereum,5821.09,703270985983,79586801980,-8.054474700500673
bitcoin-cash,BCH,Bitcoin Cash,757.99,15112982514,488397269,-9.228616097778303
helium,HNT,Helium,3.16,588968163,20635617,-10.0531405201121
syrup,SYRUP,Maple Finance,0.515585,576224832,44594638,-10.256038044406674
yearn-finance,YFI,yearn.finance,6803.29,230467723,30176084,-10.4696565459706
tezos,XTZ,Tezos,0.886965,941566231,36569222,-10.586833797286463
ondo-finance,ONDO,Ondo,1.13,3584653272,365995833,-11.653350257278465
quant-network,QNT,Quant,125.45,1824162992,46094302,-11.908375265644306
chainlink,LINK,Chainlink,26.83,18704149802,1898419232,-12.117988835778355
aave,AAVE,Aave,349.37,5329033855,803576586,-12.486294110664202
ethereum-classic,ETC,Ethereum Classic,23.65,3641129893,281481982,-13.305691885052923
ripple,XRP,XRP,3.6,215527329016,13527214912,-13.386808432106553
stellar,XLM,Stellar,0.478646,15330768403,467351824,-14.671279260763894
hedera-hashgraph,HBAR,Hedera,0.258667,10973640473,448829884,-14.678824819632307
solana,SOL,Solana,274.75,150161264354,17131442686,-14.784719768398343
0x,ZRX,0x Protocol,0.298339,253156644,24744391,-15.210599104409667
cardano,ADA,Cardano,0.995434,36390188948,2797814454,-15.270200189063349
cosmos,ATOM,Cosmos Hub,4.91,2322961500,176196132,-15.369725830366182
litecoin,LTC,Litecoin,140.03,10688050640,1714253475,-15.809922230611107
polygon-ecosystem-token,POL,POL (ex-MATIC),0.280472,2949298516,151988373,-16.133811079561838
near,NEAR,NEAR Protocol,3.45,4314945303,612289820,-16.995069665053673
the-graph,GRT,The Graph,0.096393,1015327596,60905613,-17.148624862975627
dogecoin,DOGE,Dogecoin,0.292451,44246495723,6934573988,-17.511764582667556
jupiter-exchange-solana,JUP,Jupiter,0.521822,1651326908,71644187,-18.090449372702224
livepeer,LPT,Livepeer,7.38,335280273,46194173,-18.203563921086953
uniswap,UNI,Uniswap,9.24,5545544727,573065639,-18.8013866287534
sushi,SUSHI,Sushi,0.790934,152473984,65138415,-18.8264561243966
the-open-network,TON,Toncoin,3.18,8004497465,346950412,-19.12111503407206
compound-governance-token,COMP,Compound,48.51,470252795,47322307,-19.32215464871638
spx6900,SPX,SPX6900,1.78,1657420574,131257635,-19.58333533660025
official-trump,TRUMP,Official Trump,8.73,1744887127,616897800,-19.650353505720705
ethereum-name-service,ENS,Ethereum Name Service,23.8,789260049,125294441,-20.03414051740623
pendle,PENDLE,Pendle,5.27,894951941,188659733,-20.165016586499192
the-sandbox,SAND,The Sandbox,0.309006,755794619,70503497,-20.425296528803226
render-token,RENDER,Render,3.89,2016622598,158725340,-20.767153864337303
decentraland,MANA,Decentraland,0.372983,716131009,62108311,-20.874967078659363
worldcoin-wld,WLD,Worldcoin,1.39,3065130577,416449537,-21.115711967513384
sei-network,SEI,Sei,0.320072,1959019253,249038588,-21.275474472363637
sui,SUI,Sui,3.93,14252697194,3246417876,-21.284188396198413
axie-infinity,AXS,Axie Infinity,2.41,401099794,44192607,-21.422377224510488
polkadot,DOT,Polkadot,4.55,6919019161,533106957,-21.78818097117177
thorchain,RUNE,THORChain,1.29,454930711,110737732,-21.942439566007497
lido-dao,LDO,Lido DAO,1.28,1147867158,178942734,-21.971245797533903
1inch,1INCH,1INCH,0.276554,386731607,33580743,-22.505746282839084
apecoin,APE,ApeCoin,0.606301,550584693,100455268,-22.98643549402078
arbitrum,ARB,Arbitrum,0.466336,2517454160,477050368,-23.141882659544954
moo-deng,MOODENG,Moo Deng,0.173941,172148628,85074181,-23.855402283736435
blur,BLUR,Blur,0.079095,202040888,26691603,-24.12245711920537
immutable-x,IMX,Immutable,0.793695,1539176009,95899396,-24.75768786599956
pyth-network,PYTH,Pyth Network,0.170447,980479412,83348737,-24.78128063770203
avalanche-2,AVAX,Avalanche,31.22,13307175825,1863233691,-25.93311665191142
virtual-protocol,VIRTUAL,Virtuals Protocol,1.12,732058450,167858803,-26.629774300061797
superfarm,SUPER,SuperVerse,0.622614,391211670,23377336,-26.80431367951987
curve-dao-token,CRV,Curve DAO,0.785473,1108913480,352281075,-27.607940566976797
dogwifcoin,WIF,dogwifhat,0.768607,767384186,487358424,-27.989526134998528
injective-protocol,INJ,Injective,13.31,1300797508,281905014,-28.151489506711258
eigenlayer,EIGEN,EigenCloud (prev. EigenLayer),1.89,726364563,264133980,-28.2484804928472
raydium,RAY,Raydium,2.89,775499378,117061950,-28.479842275760507
world-liberty-financial,WLFI,World Liberty Financial,0.198464,5410065114,576308496,-28.809092770952212
sonic-3,S,Sonic,0.273308,1034443126,215597020,-28.99096063757023
jito-governance-token,JTO,Jito,1.6,622230554,62359669,-29.007789165214014
filecoin,FIL,Filecoin,2.31,1625395468,290870874,-29.38320407857159
celestia,TIA,Celestia,1.47,1192804917,161582986,-29.417220968242486
wormhole,W,Wormhole,0.115331,548727050,105001590,-29.890152561300283
ethena,ENA,Ethena,0.571726,4091472529,1023350407,-29.908963391858638
peanut-the-squirrel,PNUT,Peanut the Squirrel,0.211306,211275989,83187701,-30.055376948006874
popcat,POPCAT,Popcat,0.228464,223666190,78723407,-30.2326286847941
ether-fi,ETHFI,Ether.fi,1.73,895878477,214602258,-31.45962054361626
optimism,OP,Optimism,0.676976,1204097553,304131038,-33.43620471460694
fartcoin,FARTCOIN,Fartcoin,0.607683,607445139,354060356,-35.25535992479453
fetch-ai,FET,Artificial Superintelligence Alliance,0.520199,1355384017,230138365,-35.872526233777634
grass,GRASS,Grass,0.753604,235958401,70511513,-36.78546137149677
celo,CELO,Celo,0.413558,241505044,41670995,-38.741504247167306
dydx-chain,DYDX,dYdX,0.518884,409856265,31243509,-38.863102278697966
