id,symbol,name,price_cad,market_cap,vol_24h,pct_change_1w,bucket
bitcoin,BTC,Bitcoin,159481.0,3182118491563.0,88696248362.0,2.5363204565528306,up
ethereum,ETH,Ethereum,5754.76,695048754090.0,51229203078.0,2.815386554937043,up
solana,SOL,Solana,278.15,152854056765.0,9303860829.0,4.4709291511178835,up
ripple,XRP,XRP,3.69,221207712820.0,6361565008.0,5.288765131067779,up
binancecoin,BNB,BNB,1591.45,219442805970.0,4525222927.0,2.9939842825782907,up
official-trump,TRUMP,Official Trump,9.91,1988910455.0,1990635069.0,18.05370156356785,up
litecoin,LTC,Litecoin,138.94,10632446730.0,1143592946.0,4.1993579447551594,up
virtual-protocol,VIRTUAL,Virtuals Protocol,2.0,1319821568.0,841446935.0,75.79134170991341,up
bitcoin-cash,BCH,Bitcoin Cash,776.61,15500800711.0,729341738.0,14.771165551228203,up
ethena,ENA,Ethena,0.699295,5015336547.0,611393027.0,10.135349713529916,up
hedera-hashgraph,HBAR,Hedera,0.258308,10970028476.0,350948276.0,4.768011832687847,up
world-liberty-financial,WLFI,World Liberty Financial,0.206129,5627549553.0,283103222.0,11.325833877667838,up
near,NEAR,NEAR Protocol,3.26,4169051840.0,261653258.0,2.69532598292146,up
filecoin,FIL,Filecoin,2.29,1607458298.0,179122325.0,3.1606444118895434,up
fartcoin,FARTCOIN,Fartcoin,0.560923,562929024.0,150968964.0,7.397434598604885,up
jupiter-exchange-solana,JUP,Jupiter,0.619945,1969151715.0,81920441.0,21.32274959626338,up
apecoin,APE,ApeCoin,0.619827,563972342.0,51853350.0,8.507976886997833,up
morpho,MORPHO,Morpho,2.87,1501656498.0,35129847.0,5.982521431148364,up
syrup,SYRUP,Maple Finance,0.537569,600897376.0,28333240.0,5.993739715987952,up
helium,HNT,Helium,3.16,590677980.0,19920862.0,19.113734580210373,up
chainlink,LINK,Chainlink,25.45,17751637879.0,1203286526.0,-2.79822397581587,down
pancakeswap-token,CAKE,PancakeSwap,3.76,1282293846.0,213651267.0,-8.262933479293217,down
ether-fi,ETHFI,Ether.fi,1.36,766206284.0,164681115.0,-10.08660611418524,down
havven,SNX,Synthetix,1.63,558784545.0,125540785.0,-28.58320216438602,down
eigenlayer,EIGEN,EigenCloud (prev. EigenLayer),1.49,582439664.0,120097868.0,-7.800581243078618,down
fetch-ai,FET,Artificial Superintelligence Alliance,0.369009,962778398.0,115094767.0,-2.7949423995917835,down
sonic-3,S,Sonic,0.233535,886031323.0,103606861.0,-4.41915980244116,down
cosmos,ATOM,Cosmos Hub,4.44,2111762495.0,88875954.0,-3.912437638207103,down
render-token,RENDER,Render,3.49,1810901737.0,87445256.0,-3.591847945285468,down
injective-protocol,INJ,Injective,12.05,1179578585.0,83666007.0,-2.3302088988359015,down
basic-attention-token,BAT,Basic Attention,0.23904,358355794.0,65395312.0,-9.412907505630159,down
raydium,RAY,Raydium,2.57,689107159.0,48316783.0,-2.775098873403489,down
wormhole,W,Wormhole,0.102265,495355341.0,45020606.0,-4.260886050772133,down
jito-governance-token,JTO,Jito,1.53,604228193.0,39363211.0,-3.892155611137211,down
grass,GRASS,Grass,0.579115,182094660.0,39185663.0,-10.501817754399816,down
quant-network,QNT,Quant,113.76,1656084389.0,30430442.0,-4.468386626184124,down
sushi,SUSHI,Sushi,0.760632,146842322.0,28479845.0,-2.334610371714661,down
0x,ZRX,0x Protocol,0.268193,227339826.0,23044312.0,-6.464331821863044,down
livepeer,LPT,Livepeer,7.08,326021597.0,20527269.0,-2.3798579782665166,down
blur,BLUR,Blur,0.072147,185938508.0,13082772.0,-4.201456975080631,down
avalanche-2,AVAX,AVAX,28.41,,0.0,,holding
dogecoin,DOGE,DOGE,0.280269,,0.0,,holding
polkadot,DOT,DOT,4.39,,0.0,,holding
moo-deng,MOODENG,MOODENG,0.165664,,0.0,,holding
usd-coin,USDC,USDC,1.4,,0.0,,holding
worldcoin-wld,WLD,WLD,1.26,,0.0,,holding
