ticker,close,pct_change_1w,avg_volume_5d,listing,price_cad,currency,fractional_supported,bucket
CNQ.TO,43.97,-0.97,17932320,CAD,43.97,CAD,True,up
CVE.TO,24.25,2.45,9930200,CAD,24.25,CAD,True,up
BNS.TO,88.84,-1.21,6386420,CAD,88.84,CAD,True,up
BCE.TO,33.46,2.64,3145500,CAD,33.46,CAD,True,up
CM.TO,111.82,-1.61,3134080,CAD,111.82,CAD,True,up
MFC.TO,44.41,-0.36,3007020,CAD,44.41,CAD,True,up
POW.TO,62.29,3.57,2716860,CAD,62.29,CAD,True,up
RCI-B.TO,51.5,6.25,2043220,CAD,51.5,CAD,True,up
AQN.TO,8.11,0.37,1635720,CAD,8.11,CAD,True,up
TOU.TO,59.67,-1.14,1514060,CAD,59.67,CAD,True,up
NTR.TO,83.84,1.27,1504240,CAD,83.84,CAD,True,up
CNR.TO,132.24,-1.67,1495720,CAD,132.24,CAD,True,up
CCO.TO,121.35,3.28,1213780,CAD,121.35,CAD,True,up
SLF.TO,86.24,2.46,1068000,CAD,86.24,CAD,True,up
L.TO,56.5,2.93,1012900,CAD,56.5,CAD,True,up
EMA.TO,68.61,2.71,991440,CAD,68.61,CAD,True,up
H.TO,50.54,1.69,865400,CAD,50.54,CAD,True,up
OTEX.TO,54.04,2.04,724420,CAD,54.04,CAD,True,up
FTS.TO,71.46,1.88,690000,CAD,71.46,CAD,True,up
SAP.TO,33.28,-1.68,563120,CAD,33.28,CAD,True,up
TRP.TO,73.93,-3.85,5832620,CAD,73.93,CAD,True,down
T.TO,21.34,-2.51,5248700,CAD,21.34,CAD,True,down
ABX.TO,45.86,-3.19,4821940,CAD,45.86,CAD,True,down
K.TO,33.96,-2.67,4275300,CAD,33.96,CAD,True,down
SU.TO,55.28,-4.19,4263860,CAD,55.28,CAD,True,down
ENB.TO,66.77,-4.45,3396840,CAD,66.77,CAD,True,down
PPL.TO,54.61,-7.08,2407260,CAD,54.61,CAD,True,down
BMO.TO,175.98,-2.24,2235860,CAD,175.98,CAD,True,down
CP.TO,104.86,-3.15,1811640,CAD,104.86,CAD,True,down
BN.TO,60.29,-5.66,1638570,CAD,60.29,CAD,True,down
TECK-B.TO,58.64,-2.74,1617689,CAD,58.64,CAD,True,down
SHOP.TO,211.39,-6.0,1335240,CAD,211.39,CAD,True,down
MG.TO,60.97,-10.78,970220,CAD,60.97,CAD,True,down
IMO.TO,121.95,-2.82,962240,CAD,121.95,CAD,True,down
ATD.TO,73.13,-2.22,892040,CAD,73.13,CAD,True,down
BAM.TO,77.11,-4.4,858080,CAD,77.11,CAD,True,down
WPM.TO,147.64,-3.49,751240,CAD,147.64,CAD,True,down
GIL.TO,83.19,-2.22,728200,CAD,83.19,CAD,True,down
AEM.TO,230.16,-2.6,708700,CAD,230.16,CAD,True,down
DOL.TO,174.88,-4.68,590660,CAD,174.88,CAD,True,down
FM.TO,31.75,,,CAD,31.75,CAD,True,holding
