ticker,close,pct_change_1w,avg_volume_5d,listing
ADSK,326.37,13.13,2513300,USD
WDC,92.04,12.32,11365780,USD
GOOGL,235.0,11.04,57767600,USD
ATD.TO,76.24,10.78,1965680,CAD
GOOG,235.17,10.74,36826960,USD
AEM.TO,210.42,10.23,1225540,CAD
K.TO,30.63,10.06,5374220,CAD
ABX.TO,39.37,9.41,4940060,CAD
STX,188.16,9.15,3819320,USD
AVGO,334.89,8.5,33877780,USD
WPM.TO,144.44,8.03,792840,CAD
CLX,127.03,7.71,2533500,USD
MU,131.37,7.68,18323480,USD
WSM,202.42,7.64,1255660,USD
DHI,181.8,7.63,3184680,USD
CPB,34.03,7.55,9362520,USD
DXCM,80.51,7.23,4357920,USD
BXP,76.83,7.2,1662020,USD
PHM,140.57,6.92,1860080,USD
LEN,141.88,6.57,2811960,USD
BMO.TO,174.72,6.52,2132020,CAD
BLDR,149.21,6.47,1706060,USD
BIIB,140.67,6.05,1784020,USD
FNV.TO,268.65,5.88,293740,CAD
POOL,333.09,5.75,538700,USD
COO,68.09,5.44,3569880,USD
SJM,112.51,5.43,2011660,USD
SWK,78.42,5.32,2161900,USD
NVR,8502.0,5.29,15720,USD
MHK,139.29,5.14,722680,USD
UHS,190.12,5.03,610340,USD
ANET,142.85,4.86,8029000,USD
BBY,76.17,4.83,4002900,USD
RL,312.02,4.83,623400,USD
LOW,269.97,4.83,2542120,USD
NEM,76.17,4.73,9684720,USD
WMT,100.51,4.58,15866340,USD
FM.TO,24.58,4.55,2253280,CAD
FCX,46.34,4.44,9670540,USD
GIS,50.58,4.42,5190220,USD
SHOP.TO,203.34,4.39,1258800,CAD
UNH,315.39,4.33,10900180,USD
FSLR,205.14,4.12,2137340,USD
CHD,95.8,4.03,1880080,USD
CSU.TO,4599.69,4.02,38460,CAD
FOXA,61.5,3.91,2713060,USD
VLO,156.77,3.71,2750140,USD
GLW,71.19,3.7,8957340,USD
FOX,55.97,3.6,1211660,USD
SYY,82.45,3.59,2757300,USD
ARE,84.7,3.51,969700,USD
INCY,86.64,3.51,1833380,USD
HPQ,29.34,3.49,10902860,USD
EXR,147.28,3.49,1126660,USD
MAS,76.07,3.43,1818460,USD
HD,418.95,3.41,3658360,USD
HUM,307.92,3.37,1586280,USD
LII,578.05,3.32,347420,USD
HCA,420.77,3.31,1075660,USD
DPZ,463.83,3.31,441440,USD
PODD,348.43,3.21,579480,USD
LW,58.0,3.11,1303860,USD
OMC,79.43,3.11,2881540,USD
CAR-UN.TO,43.03,3.09,449408,CAD
AAPL,239.69,3.07,50461700,USD
HSY,185.48,3.05,1098900,USD
MTCH,38.17,3.05,3248080,USD
A,128.75,3.03,2207960,USD
IPG,27.15,2.99,4353100,USD
VRSN,280.09,2.97,597920,USD
DOC,18.39,2.97,5532860,USD
WAT,306.32,2.91,594140,USD
TD.TO,103.16,2.88,4249800,CAD
AOS,73.68,2.88,1233200,USD
FRT,102.67,2.86,669780,USD
PG,160.02,2.81,6342780,USD
MRNA,25.14,2.74,10799080,USD
GEHC,75.73,2.73,3027620,USD
KIM,22.76,2.73,3569100,USD
CI,305.31,2.63,1449620,USD
CAG,19.28,2.61,9244320,USD
EFX,249.67,2.59,1032300,USD
O,59.29,2.46,4710840,USD
LMT,463.9,2.43,1494880,USD
DGX,183.49,2.39,734420,USD
BNS.TO,87.86,2.38,3978480,CAD
CM.TO,108.42,2.37,2757440,CAD
TECK-B.TO,47.56,2.37,2029942,CAD
CDW,169.73,2.33,1088200,USD
STLD,134.63,2.33,1100700,USD
EQR,66.81,2.33,1629460,USD
OTEX.TO,46.02,2.29,1036680,CAD
CVS,73.78,2.27,6430620,USD
T,29.59,2.25,28465660,USD
ABBV,212.56,2.23,4114140,USD
GILD,115.05,2.21,4913060,USD
WST,250.73,2.15,511840,USD
CNC,28.98,2.11,13634200,USD
PSKY,15.0,2.11,6211420,USD
PSA,297.8,2.1,662200,USD
URI,975.23,2.09,469100,USD
TER,120.2,2.06,3523120,USD
CL,85.13,2.05,5327800,USD
REG,73.68,2.04,1122860,USD
TKO,194.0,2.03,686980,USD
TTWO,239.68,2.03,1190560,USD
L.TO,56.62,2.0,886240,CAD
COST,963.48,1.96,1694420,USD
TPR,104.18,1.92,3060320,USD
DECK,120.4,1.91,2806180,USD
KMB,129.89,1.9,2122400,USD
MSI,478.98,1.89,922340,USD
PPL.TO,52.57,1.86,3589640,CAD
TRV,275.22,1.83,1183200,USD
MLM,622.64,1.83,412020,USD
DOL.TO,188.43,1.83,628760,CAD
PANW,194.46,1.8,5881640,USD
MRK,84.71,1.8,12203120,USD
BN.TO,92.16,1.8,1481900,CAD
MTD,1305.71,1.76,115820,USD
GIL.TO,76.87,1.75,312260,CAD
HRL,25.66,1.74,5514480,USD
SHW,372.43,1.71,2063900,USD
JNJ,178.43,1.7,8138220,USD
FICO,1531.99,1.7,373580,USD
DRI,210.14,1.66,750580,USD
ENB.TO,66.87,1.66,5020720,CAD
PKG,220.25,1.66,769440,USD
SPG,182.25,1.61,2013240,USD
WY,26.15,1.59,3903200,USD
