id,symbol,name,price_cad,market_cap,vol_24h,pct_change_1w
worldcoin-wld,WLD,Worldcoin,1.55,3143141609,769738702.0,28.085893211581325
eigenlayer,EIGEN,EigenCloud (prev. EigenLayer),1.95,642904901,138343104.0,19.605254532648996
ethena,ENA,Ethena,1.02,7024844940,642737910.0,15.155626786875388
decentraland,MANA,Decentraland,0.445203,854286170,50760221.0,13.069540614199823
spx6900,SPX,SPX6900,1.75,1627374165,41163861.0,13.060079997295784
bitcoin-cash,BCH,Bitcoin Cash,834.59,16624884411,232044940.0,12.03114777753478
cartesi,CTSI,Cartesi,0.115752,101838547,57417640.0,11.635861037597452
syrup,SYRUP,Maple Finance,0.68296,762056216,49371201.0,10.510411452030722
ether-fi,ETHFI,Ether.fi,1.62,753142837,69784444.0,10.391492514871079
polkadot,DOT,Polkadot,5.54,8427458935,490197148.0,7.930435489285961
dogecoin,DOGE,Dogecoin,0.315206,47487834524,2759936409.0,7.880030406405051
binance-peg-dogecoin,DOGE,Binance-Peg Dogecoin,0.314723,806883475,4455096.0,7.70021464443109
dogwifcoin,WIF,dogwifhat,1.14,1145695908,199526743.0,6.863189999175414
filecoin,FIL,Filecoin,3.3,2267719439,201340515.0,6.195036784958479
0x,ZRX,0x Protocol,0.37982,322183180,34990047.0,5.826404562801173
avalanche-2,AVAX,Avalanche,34.02,14364186155,490620840.0,5.761904546994267
optimism,OP,Optimism,0.99772,1774409432,100330805.0,5.5358587653734075
litecoin,LTC,Litecoin,157.65,12021800754,489430639.0,5.416191097255961
near,NEAR,NEAR Protocol,3.4,4254030164,134684496.0,5.126453229620038
the-sandbox,SAND,The Sandbox,0.397671,973770192,46670874.0,4.926882963258408
peanut-the-squirrel,PNUT,Peanut the Squirrel,0.29817,298097250,49017454.0,4.904520049886838
sui,SUI,Sui,4.66,16618221055,734316856.0,4.8153870538097365
basic-attention-token,BAT,Basic Attention,0.215192,322024693,12762410.0,4.797654263692331
apecoin,APE,ApeCoin,0.806293,645178800,28344026.0,4.576438301650868
sei-network,SEI,Sei,0.406102,2440391532,156028272.0,4.449578422782754
ripple,XRP,XRP,3.97,236542587927,4970748678.0,4.44905217662727
jupiter-exchange-solana,JUP,Jupiter,0.696407,2168033415,40902367.0,4.350713445360226
virtual-protocol,VIRTUAL,Virtuals Protocol,1.58,1036921284,105854704.0,4.151609704489331
fetch-ai,FET,Artificial Superintelligence Alliance,0.874645,2281547640,85716663.0,4.109271893963761
celestia,TIA,Celestia,2.27,1758106663,88748311.0,4.0072454902594306
morpho,MORPHO,Morpho,2.73,906617226,36199566.0,3.7994146866863865
livepeer,LPT,Livepeer,9.64,425914014,39910196.0,3.7384455485217307
solana,SOL,Solana,285.69,154732279704,6133936338.0,3.6308590338125555
injective-protocol,INJ,Injective,17.97,1754730175,143508995.0,3.530411382180929
superfarm,SUPER,SuperVerse,0.802553,497102916,9576932.0,3.4441923803654273
binance-peg-sol,SOL,Binance-Peg SOL,285.49,314172546,6979688.0,3.3478188011365546
cardano,ADA,Cardano,1.15,41966502362,1447136378.0,3.3044471899295838
bitcoin,BTC,Bitcoin,153305.0,3051158483489,32438667473.0,3.1548699868174266
chromaway,CHR,Chromia,0.135161,114609943,8376254.0,3.0775541704376503
ondo-finance,ONDO,Ondo,1.26,3966862868,112566776.0,3.042375339510664
stellar,XLM,Stellar,0.496395,15756845656,221202287.0,2.9501989587136004
goatseus-maximus,GOAT,Goatseus Maximus,0.11616,116218367,11706370.0,2.8008109097328604
thorchain,RUNE,THORChain,1.67,588293489,58566921.0,2.634402321523564
binancecoin,BNB,BNB,1214.45,169048595654,1389644706.0,2.6279981906950334
render-token,RENDER,Render,4.81,2492445045,45946689.0,2.60760108547065
immutable-x,IMX,Immutable,0.714721,1387626131,20948217.0,2.5959358970604547
compound-governance-token,COMP,Compound,59.37,561526625,23258997.0,2.521933077728261
1inch,1INCH,1inch,0.338212,472136187,12466689.0,2.269561447550528
hedera-hashgraph,HBAR,Hedera,0.302054,12807351109,181326260.0,1.8046233527080142
pendle,PENDLE,Pendle,6.44,1088828619,44876919.0,1.8045941733540178
lido-dao,LDO,Lido DAO,1.64,1468153247,72685615.0,1.640871508412577
mask-network,MASK,Mask Network,1.69,169534621,16363041.0,1.5865634581587955
cosmos,ATOM,Cosmos Hub,6.21,2900973230,90825516.0,1.5833183745710762
chiliz,CHZ,Chiliz,0.055311,543443388,25654193.0,1.2176153041487559
cronos-bridged-usdc-cronos,USDC,Cronos Bridged USDC (Cronos),1.38,248430075,3922375.0,1.2030728918733384
the-graph,GRT,The Graph,0.122472,1282443195,26281237.0,1.1324339182246268
polygon-ecosystem-token,POL,POL (ex-MATIC),0.382251,4013831008,125474494.0,1.0962361950266621
blur,BLUR,Blur,0.105976,265429218,13363767.0,0.8639251776003853
fartcoin,FARTCOIN,Fartcoin,1.042,1041922458,113663348.0,0.8292534061115662
curve-dao-token,CRV,Curve DAO,1.052,1469855737,139478595.0,0.8170355196712924
algorand,ALGO,Algorand,0.318813,2792079810,49423551.0,0.7921340844212391
bridged-usd-coin-starkgate,USDC,Bridged USD Coin (StarkGate),1.38,90060193,718991.0,0.7186295524649126
usd-coin,USDC,USDC,1.38,100309344438,9017495206.0,0.7152238982743736
binance-bridged-usdc-bnb-smart-chain,USDC,Binance Bridged USDC (BNB Smart Chain),1.38,1450685749,363151058.0,0.6787935269452917
ethereum-name-service,ENS,Ethereum Name Service,30.86,1024268281,34913342.0,0.6267454678837246
bridged-usd-coin-linea,USDC,Bridged USD Coin (Linea),1.38,294271146,58079638.0,0.5027105122171128
moo-deng,MOODENG,Moo Deng,0.18506,183277800,22049640.0,0.4723995584661123
quant-network,QNT,Quant,141.22,2052192315,12461052.0,0.45220915760926544
arbitrum,ARB,Arbitrum,0.680748,3604445680,227236968.0,0.30243191303451333
dydx-chain,DYDX,dYdX,0.82588,646531539,7799828.0,0.02392632732653128
sushi,SUSHI,Sushi,1.036,199719848,18538923.0,-0.0076783999106449065
axie-infinity,AXS,Axie Infinity,3.38,563733594,34996849.0,-0.11322642820428688
official-trump,TRUMP,Official Trump,11.7,2339633258,274937285.0,-0.3597609800390781
tokamak-network,TON,Tokamak Network,1.76,94472734,656153.0,-0.4871660490701308
havven,SNX,Synthetix Network,0.918241,315775779,15906325.0,-0.6511237033842656
yearn-finance,YFI,yearn.finance,7189.6,243143384,13562661.0,-0.779609516999707
ethereum-classic,ETC,Ethereum Classic,28.21,4331119617,54736679.0,-0.8675528729175113
tezos,XTZ,Tezos,0.978339,1034485686,17985452.0,-0.9048090650115251
popcat,POPCAT,Popcat,0.342511,336031952,18306320.0,-1.1383776758444895
uniswap,UNI,Uniswap,12.93,7759043840,216212490.0,-1.375050866048216
sonic-3,S,Sonic,0.420937,1353521565,94599366.0,-1.4257377424203712
the-open-network,TON,Toncoin,4.28,10981022918,30259706.0,-1.50242575168942
bridged-wrapped-ether-starkgate,ETH,Bridged Ether (StarkGate),5934.3,139312433,820959.0,-1.6935640633792524
pancakeswap-token,CAKE,PancakeSwap,3.33,1149976879,38366416.0,-2.0781091442315254
ethereum,ETH,Ethereum,5929.63,715306399329,21139609468.0,-2.308826280461663
kyber-network-crystal,KNC,Kyber Network Crystal,0.508621,86526448,5806736.0,-2.671892663472025
uma,UMA,UMA,1.86,167120053,12998611.0,-2.8749414946956064
bancor,BNT,Bancor Network,0.990437,111598625,3750149.0,-2.991527989838979
yield-guild-games,YGG,Yield Guild Games,0.205968,122842631,20061148.0,-3.0427109745382297
jito-governance-token,JTO,Jito,2.49,933931455,27709980.0,-3.241528212405806
chainlink,LINK,Chainlink,30.84,20901488506,670789424.0,-3.516172207911376
wormhole,W,Wormhole,0.108889,516706967,34970094.0,-3.605004384965854
aave,AAVE,Aave,415.46,6321927471,362929490.0,-3.920210374224468
coti,COTI,COTI,0.067346,157834715,6102105.0,-4.097995463117609
band-protocol,BAND,Band,1.028,168556019,14342354.0,-4.3333118049866926
loopring,LRC,Loopring,0.134464,167531608,18571170.0,-4.666752473041068
raydium,RAY,Raydium,4.45,1192608761,52289550.0,-5.178392202827853
api3,API3,Api3,1.39,179162526,91128120.0,-6.0978762808452425
celo,CELO,Celo,0.396919,230814855,13494157.0,-6.135592235800494
grass,GRASS,Grass,0.975595,300119001,22703669.0,-6.3901342840955415
pyth-network,PYTH,Pyth Network,0.229413,1317463523,229079920.0,-6.609415295237142
helium,HNT,Helium,3.16,588623446,10980719.0,-9.095054277959699
world-liberty-financial,WLFI,World Liberty Financial,0.317582,8656812499,1449255138.0,
