ticker,close,pct_change_1w,avg_volume_5d,listing,price_cad,currency,fractional_supported,bucket
CNQ.TO,43.21,2.73,28518460,CAD,43.21,CAD,True,up
SU.TO,57.75,4.24,12964880,CAD,57.75,CAD,True,up
CVE.TO,23.38,5.74,11600060,CAD,23.38,CAD,True,up
ABX.TO,40.22,2.16,5463580,CAD,40.22,CAD,True,up
MFC.TO,44.14,3.91,5115780,CAD,44.14,CAD,True,up
TOU.TO,60.06,3.57,5069300,CAD,60.06,CAD,True,up
PPL.TO,54.33,3.35,4538920,CAD,54.33,CAD,True,up
TD.TO,106.32,3.06,4343960,CAD,106.32,CAD,True,up
ENB.TO,67.98,1.66,3870100,CAD,67.98,CAD,True,up
K.TO,32.22,5.19,3562240,CAD,32.22,CAD,True,up
TECK-B.TO,57.99,21.93,3278755,CAD,57.99,CAD,True,up
FM.TO,26.32,7.08,2162540,CAD,26.32,CAD,True,up
SLF.TO,82.06,2.6,2045340,CAD,82.06,CAD,True,up
POW.TO,59.15,2.05,1783540,CAD,59.15,CAD,True,up
OTEX.TO,49.41,7.37,1519700,CAD,49.41,CAD,True,up
BN.TO,93.8,1.91,1409920,CAD,93.8,CAD,True,up
CCO.TO,108.14,2.86,1141860,CAD,108.14,CAD,True,up
MG.TO,64.26,1.12,1008380,CAD,64.26,CAD,True,up
IMO.TO,125.99,4.21,759020,CAD,125.99,CAD,True,up
WPM.TO,147.63,2.21,700900,CAD,147.63,CAD,True,up
T.TO,22.1,-1.99,4714780,CAD,22.1,CAD,True,down
BNS.TO,87.74,-0.14,3807480,CAD,87.74,CAD,True,down
BCE.TO,33.46,-2.25,3438820,CAD,33.46,CAD,True,down
CNR.TO,129.39,-2.62,3033640,CAD,129.39,CAD,True,down
H.TO,49.28,-0.75,2447860,CAD,49.28,CAD,True,down
RY.TO,199.63,-0.29,2306260,CAD,199.63,CAD,True,down
AQN.TO,7.74,-1.28,1905340,CAD,7.74,CAD,True,down
CP.TO,103.98,-2.06,1883980,CAD,103.98,CAD,True,down
RCI-B.TO,49.53,0.67,1791000,CAD,49.53,CAD,True,down
BMO.TO,174.93,0.12,1495280,CAD,174.93,CAD,True,down
ATD.TO,73.64,-3.16,1491560,CAD,73.64,CAD,True,down
BAM.TO,78.35,-2.86,1380900,CAD,78.35,CAD,True,down
SHOP.TO,198.49,-2.39,1350620,CAD,198.49,CAD,True,down
L.TO,55.58,-1.84,955040,CAD,55.58,CAD,True,down
FTS.TO,68.37,0.28,825000,CAD,68.37,CAD,True,down
QSR.TO,87.08,-0.32,746680,CAD,87.08,CAD,True,down
EMA.TO,64.79,-0.03,730920,CAD,64.79,CAD,True,down
SAP.TO,34.0,-1.93,627580,CAD,34.0,CAD,True,down
MRU.TO,96.71,-0.62,514900,CAD,96.71,CAD,True,down
DOL.TO,188.77,0.18,452900,CAD,188.77,CAD,True,down
